species,dd long,dd lat
Paruroctonus tulare,-120.278,36.60173
Paruroctonus tulare,-119.579,35.7465
Paruroctonus tulare,-119.579,35.73335
Paruroctonus tulare,-119.579,35.70509
Paruroctonus tulare,-119.735,35.73166
Paruroctonus tulare,-119.646,35.61697
Paruroctonus tulare,-119.617,35.61381
Paruroctonus tulare,-119.579,35.63978
Paruroctonus tulare,-119.049,35.09596
Paruroctonus tulare,-119.563,35.50013
Paruroctonus tulare,-119.254,35.12976
Paruroctonus tulare,-119.589,35.7337
Paruroctonus boreus,-119.2044105,38.24621688
Paruroctonus boreus,-119.862728,38.699097
Paruroctonus boreus,-121.566553,41.928368
Paruroctonus boreus,-121.5026417,41.717345
Paruroctonus boreus,-121.810014,41.97183517
Paruroctonus boreus,-118.18782,37.334216
Paruroctonus boreus,-118.6535034,37.57978058
Paruroctonus boreus,-119.0470417,37.91645833
Paruroctonus boreus,-118.65831,37.631823
Paruroctonus boreus,-118.404523,37.485213
Paruroctonus boreus,-118.698825,37.538796
Paruroctonus boreus,-122.2770113,41.57220294
Paruroctonus boreus,-120.2000298,39.06359649
Paruroctonus boreus,-115.5880903,35.52815535
Paruroctonus boreus,-118.0971533,35.98604306
Paruroctonus boreus,-118.2392836,36.06403486
Paruroctonus boreus,-119.0968596,37.94420791
Paruroctonus boreus,-121.1344546,40.54131529
Paruroctonus boreus,-121.2090406,40.68952314
Paruroctonus boreus,-120.8182168,40.66486137
Paruroctonus boreus,-120.7839274,40.61065808
Paruroctonus boreus,-117.756705,36.51130333
Paruroctonus boreus,-118.427545,37.12766383
Paruroctonus boreus,-120.0177814,39.8774804
Paruroctonus boreus,-118.6937447,37.70820337
Paruroctonus boreus,-121.6473838,41.01771705
Paruroctonus boreus,-118.6189803,37.9348939
Paruroctonus boreus,-118.1570417,37.254985
Paruroctonus boreus,-119.080067,37.795941
Paruroctonus boreus,-118.2705841,37.04927826
Paruroctonus boreus,-118.6311939,37.73666795
Paruroctonus boreus,-120.6086111,40.29416667
Paruroctonus boreus,-122.62017,41.83403
Paruroctonus boreus,-119.433096,38.58408418
Paruroctonus boreus,-117.0718684,36.23652906
Paruroctonus boreus,-120.0603428,39.25203757
Paruroctonus boreus,-122.3522146,41.22173089
Paruroctonus boreus,-120.0210287,38.88060653
Paruroctonus boreus,-118.7677217,37.57285691
Paruroctonus boreus,-118.8311389,37.65824167
Paruroctonus boreus,-118.178765,37.38442225
Paruroctonus boreus,-118.257281,36.998076
Paruroctonus boreus,-119.157491,38.089358
Paruroctonus boreus,-119.9568033,38.90803667
Paruroctonus boreus,-120.3584367,40.57204167
Paruroctonus boreus,-120.6183672,40.36676869
Paruroctonus boreus,-118.5609883,36.78866167
Paruroctonus boreus,-118.4111117,36.34259167
Paruroctonus boreus,-120.2410591,39.43207333
Paruroctonus boreus,-120.1238058,40.07781525
Paruroctonus boreus,-118.4103805,37.364236
Paruroctonus boreus,-118.4365139,36.13314444
Paruroctonus boreus,-120.0760417,40.06034717
Paruroctonus boreus,-122.2332919,41.35412079
Paruroctonus boreus,-118.2663859,35.84009883
Paruroctonus boreus,-118.6694442,36.79083224
Paruroctonus boreus,-120.24893,39.36721167
Paruroctonus boreus,-122.0865349,41.47682478
Paruroctonus boreus,-120.4193606,39.82642401
Paruroctonus boreus,-120.7413128,40.66338562
Paruroctonus boreus,-120.3310814,40.49637882
Paruroctonus boreus,-120.1141433,40.75345667
Paruroctonus boreus,-120.0010466,41.13744681
Paruroctonus boreus,-121.0760031,41.92452372
Paruroctonus boreus,-119.7610038,38.75824102
Paruroctonus boreus,-118.182275,36.59769167
Paruroctonus boreus,-118.9601583,37.65067
Paruroctonus boreus,-119.6948806,38.5827333
Paruroctonus boreus,-117.9775778,37.040875
Paruroctonus boreus,-118.0395417,37.2866444
Paruroctonus boreus,-118.9645306,38.1075472
Paruroctonus boreus,-120.57,40.46
Paruroctonus boreus,-121.9462,41.67267
Paruroctonus boreus,-115.6047806,36.2629222
Paruroctonus boreus,-120.300775,38.67166333
Paruroctonus boreus,-119.934945,38.69816667
Paruroctonus boreus,-116.9554921,40.63052222
Paruroctonus boreus,-119.897747,38.99437413
Paruroctonus boreus,-119.7544172,39.4647923
Paruroctonus boreus,-119.8561074,39.3540452
Paruroctonus boreus,-115.62677,36.37185333
Paruroctonus boreus,-119.767005,39.24895833
Paruroctonus boreus,-117.4438167,39.32417833
Paruroctonus boreus,-114.396575,39.13128333
Paruroctonus boreus,-119.7248425,39.14246689
Paruroctonus boreus,-116.7513432,39.44962376
Paruroctonus boreus,-117.4329948,39.12206118
Paruroctonus boreus,-117.5818333,38.88183833
Paruroctonus boreus,-119.7002807,39.02495157
Paruroctonus boreus,-114.2147512,38.99944335
Paruroctonus boreus,-119.0866472,38.85552
