Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.66752E-13,0.000000001,0.000000002,0.998420845,0,0
1.3043E-12,0.000000003,0.000000003,0.997137781,0,0
3.447E-12,0.00000001,0.000000009,0.993880774,0,0
7.15821E-12,0.000000025,0.000000018,0.991117252,0,0
1.38277E-11,0.0000001,0.000000035,0.984011054,0,0
2.53551E-11,0.00000025,0.000000065,0.97641137,0,0
6.51414E-11,0.000001005,0.000000167,0.959928938,0,0
1.76984E-10,0.000002502,0.000000453,0.946506119,0,0
6.4856E-10,0.000010037,0.00000166,0.92745756,0,0
1.76447E-9,0.000025106,0.000004516,0.913639953,0,0
2.96828E-9,0.000050205,0.000007597,0.903079353,0,0
4.77871E-9,0.000100273,0.00001223,0.889952625,0,0
9.98366E-9,0.000250235,0.000025551,0.869522306,0,0
1.69132E-8,0.000500378,0.000043286,0.850572444,0,0
3.01709E-8,0.00100136,0.000077215,0.829056455,0,0
6.0586E-8,0.002502707,0.000155049,0.795203316,0,0
1.10854E-7,0.005009124,0.000283675,0.765199368,0,0
2.02845E-7,0.010007115,0.000519019,0.732727991,0,0
4.64183E-7,0.025000143,0.001187303,0.685649428,0,0
8.81978E-7,0.050026286,0.002254748,0.647848401,0,0
1.80122E-6,0.100111326,0.004599359,0.608270825,0,0
4.31366E-6,0.200335002,0.010979461,0.573332017,0,0
6.81462E-6,0.300675036,0.017289819,0.554875642,0,0
8.90957E-6,0.400797621,0.022544732,0.542341098,0,0
1.11464E-5,0.500747931,0.028124623,0.532570075,0,0
1.29721E-5,0.60019781,0.032655151,0.524476905,0,0
1.46005E-5,0.700951669,0.03667822,0.517272009,0,0
1.54202E-5,0.750626047,0.038697166,0.514015002,0,0
1.61789E-5,0.801145032,0.040562029,0.510856692,0,0
1.7334E-5,0.901608281,0.043394147,0.50493486,0,0
1.86714E-5,1.000840161,0.04666281,0.499506514,0,0
1.97054E-5,1.100296287,0.049182554,0.49437426,0,0
2.09796E-5,1.200270644,0.052278285,0.489538097,0,0
2.2021E-5,1.301688138,0.054800865,0.484899329,0,0
2.28079E-5,1.400512821,0.056702355,0.480556652,0,0
2.37771E-5,1.50054005,0.059039371,0.476312673,0,0
2.60971E-5,1.751051863,0.064610026,0.466442953,0,0
2.85443E-5,2.001622562,0.070450313,0.457362811,0,0
3.08864E-5,2.252497068,0.076005538,0.449072246,0,0
3.28648E-5,2.501061071,0.080672309,0.441373865,0,0
3.45882E-5,2.750765237,0.084718465,0.434070272,0,0
3.65029E-5,3.000760165,0.089192744,0.427161469,0,0
3.82292E-5,3.250959154,0.093208023,0.420548756,0,0
4.00465E-5,3.500912063,0.097415757,0.414232136,0.007407407,0
4.14005E-5,3.753052517,0.100538026,0.40811291,0.007407407,0
4.26202E-5,4.00073143,0.103341479,0.402289775,0.014814815,0
4.40605E-5,4.253023776,0.106640815,0.396565338,0.014814815,0
4.51966E-5,4.503102796,0.10923458,0.391038295,0.014814815,0
4.66228E-5,4.751587619,0.112480029,0.385708646,0.014814815,0
4.82227E-5,5.002782461,0.11610686,0.380477694,0.014814815,0
4.95815E-5,5.252124558,0.119175197,0.375444137,0.014814815,0
