Predictor variable,Categorical,Sample average
actual_evapotranspiration,false,171.2
bio10_mean_temp_warm,false,17.83703703703704
bio11_mean_temp_cold,false,-0.4666666666666667
bio12_total_precip,false,394.1703703703704
bio13_precip_wettest_month,false,60.62222222222222
bio14_precip_driest_month,false,10.444444444444445
bio15_precip_seasonality,false,47.57037037037037
bio16_precip_wettest_q,false,166.92592592592592
bio17_precip_driest_q,false,40.851851851851855
bio18_precip_warmest,false,46.42962962962963
bio19_precip_coldest,false,160.1259259259259
bio1_mean_temp,false,8.155555555555555
bio2_mean_temp_range,false,16.251851851851853
bio3_isothermality,false,44.01481481481481
bio4_temp_seasonality,false,752.9703703703703
bio5_max_temp,false,29.16296296296296
bio6_min_temp,false,-7.814814814814815
bio7_temp_range,false,36.992592592592594
clay,false,187.72592592592594
elevation,false,1839.2444444444445
net_primary_productivity,false,6514.474074074074
pH,false,72.26666666666667
sand,false,526.0962962962963
silt,false,289.44444444444446
slope,false,10.0
snowcover_depth,false,112.43703703703704
soil_moisture,false,32.074074074074076
solar_radiation,false,1907.8296296296296
vapor_pressure,false,177.94074074074075
