Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.95883E-10,0.00000002,0.000000286,1,0,0
2.02109E-10,0.00000004,0.000000295,0.999902325,0,0
2.57627E-10,0.00000011,0.000000376,0.999609299,0,0
2.99359E-10,0.000000251,0.000000437,0.999120922,0,0
3.88896E-10,0.000001015,0.000000568,0.996972065,0,0
6.48203E-10,0.000002519,0.000000947,0.994237156,0,0
1.12547E-9,0.000010028,0.000001644,0.985934753,0,0
1.70193E-9,0.000025049,0.000002485,0.975483493,0,0
2.33752E-9,0.000050141,0.000003414,0.963371752,0,0
3.26764E-9,0.000100326,0.000004772,0.945790193,0,0
5.10156E-9,0.000250223,0.00000745,0.910627076,0,0
7.63251E-9,0.000500006,0.000011146,0.872045321,0,0
1.18525E-8,0.001000277,0.000017309,0.821937878,0,0
2.60833E-8,0.002502441,0.000038091,0.73891385,0,0
5.01658E-8,0.005002023,0.000073258,0.672787654,0,0
1.05565E-7,0.010001252,0.000154152,0.607247509,0,0
3.13062E-7,0.025014721,0.000457084,0.529400273,0,0
6.73819E-7,0.050039559,0.000983547,0.477339324,0,0
1.40872E-6,0.100024536,0.002055153,0.427427232,0,0
3.25559E-6,0.200254616,0.004743106,0.382789607,0,0
4.88955E-6,0.300341271,0.007115165,0.358468451,0,0
6.2831E-6,0.400277944,0.00913374,0.341179918,0,0
7.50839E-6,0.500481218,0.010905199,0.326821645,0,0
8.84581E-6,0.600115964,0.012835153,0.314905255,0,0
1.00494E-5,0.700573381,0.014568772,0.304453995,0,0
1.08222E-5,0.750740076,0.015680275,0.299765579,0,0
1.13922E-5,0.800629949,0.016499331,0.295370189,0,0
1.26358E-5,0.901163548,0.018283788,0.287165462,0,0
1.39558E-5,1.000749465,0.020174481,0.279839812,0,0
1.55471E-5,1.100626999,0.022448828,0.27319789,0,0
1.70144E-5,1.200162231,0.024541305,0.267239695,0,0
1.87926E-5,1.30070553,0.027071085,0.261769877,0,0
2.0847E-5,1.400429694,0.029985781,0.256886111,0,0
2.31801E-5,1.501745435,0.033285224,0.252393046,0.0041841,0
2.75517E-5,1.750811406,0.039437193,0.242820863,0.008368201,0
3.18909E-5,2.002418913,0.045504905,0.234518461,0.008368201,0
3.5785E-5,2.252854436,0.050917616,0.227290486,0.008368201,0
3.96561E-5,2.503319808,0.056267918,0.220843915,0.012552301,0
4.38867E-5,2.752834308,0.062080505,0.214983395,0.016736402,0
4.71349E-5,3.003857954,0.066519071,0.209611252,0.016736402,0
5.00736E-5,3.25277396,0.070516648,0.204629811,0.016736402,0
5.25475E-5,3.50343634,0.073868683,0.199843719,0.016736402,0
5.67686E-5,3.754034519,0.07956015,0.195350654,0.016736402,0
6.01807E-5,4.005223588,0.084135332,0.191150615,0.016736402,0
6.30497E-5,4.252191767,0.087964523,0.187243602,0.016736402,0
6.62673E-5,4.505198107,0.092240079,0.183434265,0.016736402,0
7.00495E-5,4.751394289,0.09724028,0.179917953,0.016736402,0
7.36634E-5,5.002188434,0.101992175,0.176499316,0.016736402,0
7.73791E-5,5.251804129,0.106851776,0.17327603,0.016736402,0
8.03379E-5,5.504174209,0.110702778,0.17015042,0.016736402,0
8.42567E-5,5.751948393,0.115777556,0.16722016,0.020920502,0
8.79863E-5,6.002255425,0.1205805,0.164387576,0.025104603,0
9.19899E-5,6.254195866,0.125707252,0.161652667,0.029288703,0
9.45901E-5,6.506025369,0.129020938,0.159015433,0.029288703,0
9.88111E-5,6.758037644,0.134373306,0.156475874,0.029288703,0
1.01695E-4,7.008414714,0.138011863,0.154033991,0.033472803,0
1.06554E-4,7.258043038,0.144106015,0.151689783,0.033472803,0
1.12182E-4,7.509933062,0.151111775,0.149443251,0.033472803,0
1.17356E-4,7.761709256,0.157502185,0.147294393,0.037656904,0
1.20402E-4,8.011716578,0.161241729,0.145243212,0.037656904,0
1.24777E-4,8.257167427,0.16658397,0.143289705,0.037656904,0
1.28998E-4,8.510697882,0.17170484,0.141336198,0.037656904,0
1.33178E-4,8.759560819,0.176746176,0.139480367,0.041841004,0
1.36605E-4,9.002460507,0.180855142,0.137722211,0.046025105,0
1.40754E-4,9.252496185,0.185803427,0.135964055,0.046025105,0
1.45005E-4,9.50931993,0.190842935,0.1342059,0.050209205,0
1.47973E-4,9.758405597,0.194342799,0.132545419,0.054393305,0
1.52718E-4,10.014307535,0.199906294,0.130884938,0.054393305,0
1.57568E-4,10.262970534,0.205552929,0.129322133,0.062761506,0
1.63698E-4,10.503462517,0.212633404,0.127857003,0.062761506,0
1.68396E-4,10.753771993,0.218016911,0.126391873,0.066945607,0
1.71412E-4,11.008814772,0.221453885,0.124926744,0.066945607,0
1.74148E-4,11.250700796,0.2245582,0.123559289,0.066945607,0
1.77618E-4,11.51429578,0.228477688,0.122094159,0.066945607,0
1.82791E-4,11.767796042,0.234284049,0.120726704,0.075313808,0
1.86645E-4,12.008171886,0.238581234,0.119456925,0.075313808,0
1.89829E-4,12.252826456,0.242113813,0.118187146,0.09623431,0
1.9288E-4,12.502041918,0.245482813,0.116917367,0.10041841,0
1.94381E-4,12.753769861,0.247135595,0.115647587,0.10460251,0
1.97368E-4,13.008670463,0.25041277,0.114377808,0.108786611,0
2.03301E-4,13.250298856,0.256878822,0.113205704,0.108786611,0
2.07762E-4,13.517438995,0.261704628,0.111935925,0.108786611,0
2.11532E-4,13.769571197,0.265758433,0.110763821,0.108786611,0
2.13909E-4,14.00376749,0.268302462,0.109689392,0.112970711,0
2.17078E-4,14.262389504,0.271680641,0.108517289,0.112970711,0
2.22386E-4,14.504337164,0.277304849,0.10744286,0.112970711,0
2.25646E-4,14.75106369,0.280737705,0.106368431,0.112970711,0
2.29636E-4,15.001611265,0.28491607,0.105294003,0.117154812,0
2.34144E-4,15.257991625,0.289608108,0.104219574,0.117154812,0
2.38843E-4,15.518498176,0.294466553,0.103145146,0.125523013,0
2.41389E-4,15.758641289,0.2970847,0.102168392,0.129707113,0
2.45412E-4,16.0027634,0.30120258,0.101191639,0.133891213,0
2.50041E-4,16.250937096,0.305910478,0.100214886,0.133891213,0
2.5235E-4,16.502157776,0.308247195,0.099238132,0.138075314,0
2.54742E-4,16.755819664,0.310659629,0.098261379,0.138075314,0
2.57463E-4,17.012316319,0.31339307,0.097284626,0.138075314,0
2.61483E-4,17.272182839,0.317412162,0.096307873,0.138075314,0
2.66502E-4,17.510095293,0.3223974,0.095428795,0.138075314,0
2.6973E-4,17.751431203,0.325583687,0.094549717,0.142259414,0
2.74448E-4,18.02367902,0.330214741,0.093572963,0.142259414,0
2.79319E-4,18.272966268,0.334962534,0.092693886,0.142259414,0
2.83414E-4,18.527258089,0.338927302,0.091814808,0.146443515,0
2.86966E-4,18.755345045,0.342347272,0.091033405,0.146443515,0
2.91193E-4,19.015496343,0.346394558,0.090154327,0.146443515,0
2.96691E-4,19.250911576,0.351621937,0.089372924,0.146443515,0
3.00674E-4,19.520024959,0.355382301,0.088493846,0.150627615,0
3.03226E-4,19.761509414,0.357780541,0.087712444,0.154811715,0
3.07691E-4,20.006402163,0.361953924,0.086931041,0.163179916,0
3.10957E-4,20.254132206,0.36499038,0.086149639,0.167364017,0
3.14894E-4,20.505020335,0.368630729,0.085368236,0.167364017,0
3.18764E-4,20.758432131,0.37218936,0.084586833,0.167364017,0
3.25301E-4,21.01621401,0.378153706,0.083805431,0.167364017,0
3.29258E-4,21.278425667,0.381737027,0.083024028,0.167364017,0
3.31337E-4,21.509847898,0.38361157,0.082340301,0.167364017,0
3.35562E-4,21.776566332,0.387403152,0.081558898,0.171548117,0
3.38791E-4,22.012882621,0.390284988,0.080875171,0.175732218,0
3.45866E-4,22.253007218,0.396551884,0.080191444,0.179916318,0
3.50689E-4,22.531918429,0.400786989,0.079410041,0.184100418,0
3.52724E-4,22.778202135,0.402565839,0.078726314,0.192468619,0
3.54649E-4,23.026020699,0.404242461,0.078042586,0.20083682,0
3.63945E-4,23.278599183,0.412275993,0.077358859,0.20083682,0
3.66673E-4,23.534470095,0.41461281,0.076675132,0.20083682,0
3.71337E-4,23.756340309,0.418586025,0.07608908,0.205020921,0
3.76439E-4,24.017821502,0.422902459,0.075405353,0.205020921,0
3.80599E-4,24.283045872,0.426397744,0.074721625,0.205020921,0
3.84445E-4,24.51254055,0.429609814,0.074135573,0.205020921,0
3.87558E-4,24.783081382,0.432197714,0.073451846,0.205020921,0
3.89973E-4,25.016441993,0.434196409,0.072865794,0.205020921,0
3.91503E-4,25.250942054,0.43545929,0.072279742,0.205020921,0
4.02334E-4,25.52811194,0.444318348,0.071596015,0.205020921,0
4.04509E-4,25.770269964,0.446080451,0.071009963,0.205020921,0
4.09778E-4,26.014626176,0.450326557,0.070423911,0.209205021,0
4.12555E-4,26.261763282,0.452550974,0.069837859,0.209205021,0
4.16819E-4,26.510951339,0.455949254,0.069251807,0.213389121,0
4.23248E-4,26.763129638,0.461033768,0.068665755,0.213389121,0
4.2572E-4,27.017973602,0.462975856,0.068079703,0.213389121,0
4.28278E-4,27.274287379,0.46497831,0.067493651,0.213389121,0
4.37854E-4,27.534231683,0.472408341,0.066907599,0.221757322,0
