Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.72214E-14,0.000000001,0,0.31961646,0,0
1.68035E-13,0.000000003,0,0.306232521,0,0
6.22298E-13,0.00000001,0,0.285257691,0,0
1.54486E-12,0.000000025,0,0.269976029,0,0
6.42871E-12,0.0000001,0.000000001,0.247602877,0,0
1.53088E-11,0.000000251,0.000000001,0.233120256,0,0
5.52133E-11,0.000001005,0.000000005,0.209248901,0,0
1.61437E-10,0.000002513,0.000000014,0.193667599,0,0
6.76756E-10,0.000010021,0.000000057,0.173192169,0,0
1.81441E-9,0.000025164,0.000000154,0.160107871,0,0
3.69932E-9,0.000050063,0.000000313,0.150819017,0,0
7.37564E-9,0.000100046,0.000000624,0.141530164,0,0
1.94896E-8,0.00025158,0.000001649,0.129844187,0,0
3.72675E-8,0.000500372,0.000003154,0.120954854,0,0
7.29619E-8,0.001006264,0.000006175,0.111765881,0,0
1.94714E-7,0.002512198,0.000016479,0.099280863,0,0
3.97457E-7,0.005008946,0.000033637,0.09059129,0,0
8.56329E-7,0.010015678,0.00007247,0.082201358,0,0
2.10579E-6,0.025032772,0.000178201,0.071614063,0,0
3.91812E-6,0.050280528,0.000331543,0.063124251,0,0
7.52183E-6,0.100520279,0.000636384,0.053835398,0,0
1.60665E-5,0.200049903,0.001358815,0.044746304,0,0
2.73463E-5,0.301529292,0.002311687,0.039752297,0,0
3.87745E-5,0.402937424,0.003276182,0.036656013,0,0
5.26675E-5,0.504563151,0.00444743,0.03445865,0,0
6.71973E-5,0.600915625,0.005670886,0.032860567,0,0
7.8301E-5,0.703578275,0.006604851,0.031462245,0,0
8.31852E-5,0.75217278,0.007015389,0.030862964,0,0
8.68636E-5,0.803310142,0.007324469,0.030263684,0,0
9.98902E-5,0.907652379,0.00841826,0.029165002,0,0
1.10711E-4,1.001766761,0.009325918,0.028266081,0,0
1.18346E-4,1.10614206,0.009965871,0.027367159,0,0
1.28672E-4,1.205795283,0.010830693,0.026568118,0,0
1.34112E-4,1.311753151,0.011285934,0.025769077,0,0
1.52494E-4,1.41302588,0.012822964,0.025069916,0,0
1.57552E-4,1.506242263,0.013245376,0.024470635,0,0
1.90857E-4,1.752828028,0.016022788,0.023072313,0,0
2.06231E-4,2.009761393,0.01730229,0.021773871,0,0
2.40164E-4,2.259315144,0.020120363,0.02067519,0,0
2.6138E-4,2.509410816,0.021878161,0.019676388,0,0
3.07183E-4,2.766414419,0.025662404,0.018777467,0,0
3.36877E-4,3.028192728,0.028107924,0.017978426,0,0
3.71465E-4,3.271087521,0.030948712,0.017279265,0,0
4.20355E-4,3.515113407,0.034950082,0.016679984,0,0
4.75419E-4,3.791464258,0.039436898,0.016080703,0,0
5.19362E-4,4.039004185,0.043002525,0.015581302,0,0
5.5292E-4,4.257826429,0.045716678,0.015181782,0,0
5.95308E-4,4.546841356,0.049133921,0.014682381,0,0
6.2242E-4,4.792134021,0.051313158,0.014282861,0,0
6.30327E-4,5.042517186,0.051947835,0.01388334,0,0
6.54897E-4,5.299623503,0.05391718,0.013483819,0,0
6.8285E-4,5.567156744,0.05615263,0.013084299,0,0
7.33906E-4,5.781027705,0.060222214,0.012784658,0,0
7.94611E-4,6.018433743,0.065037987,0.012485018,0,0
9.81571E-4,6.303406657,0.079715247,0.012185378,0,0
